

   TLevel      Time           dt       Iter    ItCum
    503  0.52500000E+01  0.100000E-01    5     2359
    504  0.52600000E+01  0.100000E-01    4     2363
    505  0.52700000E+01  0.100000E-01    4     2367
    506  0.52800000E+01  0.100000E-01    4     2371
    507  0.52900000E+01  0.100000E-01    4     2375
    508  0.53000000E+01  0.100000E-01    5     2380
    509  0.53100000E+01  0.100000E-01    7     2387
    510  0.53200000E+01  0.100000E-01    4     2391
    511  0.53300000E+01  0.100000E-01    5     2396
    512  0.53400000E+01  0.100000E-01    7     2403
    513  0.53500000E+01  0.100000E-01    4     2407
    514  0.53600000E+01  0.100000E-01    4     2411
    515  0.53700000E+01  0.100000E-01    4     2415
    516  0.53800000E+01  0.100000E-01    4     2419
    517  0.53900000E+01  0.100000E-01    4     2423
    518  0.54000000E+01  0.100000E-01    5     2428
    519  0.54100000E+01  0.100000E-01    6     2434
    520  0.54200000E+01  0.100000E-01    5     2439
    521  0.54300000E+01  0.100000E-01    5     2444
    522  0.54400000E+01  0.100000E-01    4     2448
    523  0.54500000E+01  0.100000E-01    4     2452
    524  0.54600000E+01  0.100000E-01    4     2456
    525  0.54700000E+01  0.100000E-01    4     2460
    526  0.54800000E+01  0.100000E-01    4     2464
    527  0.54900000E+01  0.100000E-01    4     2468
    528  0.55000000E+01  0.100000E-01    4     2472
    529  0.55100000E+01  0.100000E-01    5     2477
    530  0.55200000E+01  0.100000E-01    5     2482
    531  0.55300000E+01  0.100000E-01    5     2487
    532  0.55400000E+01  0.100000E-01    5     2492
    533  0.55500000E+01  0.100000E-01    4     2496
    534  0.55600000E+01  0.100000E-01    4     2500
    535  0.55700000E+01  0.100000E-01    4     2504
    536  0.55800000E+01  0.100000E-01    4     2508
    537  0.55900000E+01  0.100000E-01    5     2513
    538  0.56000000E+01  0.100000E-01    5     2518
    539  0.56100000E+01  0.100000E-01    7     2525
    540  0.56200000E+01  0.100000E-01    4     2529
    541  0.56300000E+01  0.100000E-01    4     2533
    542  0.56400000E+01  0.100000E-01    4     2537
    543  0.56500000E+01  0.100000E-01    4     2541
    544  0.56600000E+01  0.100000E-01    5     2546
    545  0.56700000E+01  0.100000E-01    5     2551
    546  0.56800000E+01  0.100000E-01    6     2557
    547  0.56900000E+01  0.100000E-01    4     2561
    548  0.57000000E+01  0.100000E-01    4     2565
    549  0.57100000E+01  0.100000E-01    4     2569
    550  0.57200000E+01  0.100000E-01    4     2573
    551  0.57300000E+01  0.100000E-01    4     2577
    552  0.57400000E+01  0.100000E-01    4     2581
    553  0.57500000E+01  0.100000E-01    4     2585
    554  0.57600000E+01  0.100000E-01    4     2589
    555  0.57700000E+01  0.100000E-01    4     2593
    556  0.57800000E+01  0.100000E-01    4     2597
    557  0.57900000E+01  0.100000E-01    4     2601
    558  0.58000000E+01  0.100000E-01    4     2605
    559  0.58100000E+01  0.100000E-01    4     2609
    560  0.58200000E+01  0.100000E-01    4     2613
    561  0.58300000E+01  0.100000E-01    4     2617
    562  0.58400000E+01  0.100000E-01    4     2621
    563  0.58500000E+01  0.100000E-01    4     2625
    564  0.58600000E+01  0.100000E-01    5     2630
