 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

       14.8200        0.0        0.0        0.0    11988.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.8300        0.0        0.0        0.0    11991.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.8400        0.0        0.0        0.0    11994.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.8500        0.0        0.0        0.0    11996.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.8600        0.0        0.0        0.0    11998.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.8700        0.0        0.0        0.0    11999.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.8800        0.0        0.0        0.0    11999.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.8900        0.0        0.0        0.0    11999.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.9000        0.0        0.0        0.0    11997.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.9100        0.0        0.0        0.0    11995.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.9200        0.0        0.0        0.0    11991.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.9300        0.0        0.0        0.0    11983.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.9400        0.0        0.0        0.0    11973.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.9500        0.0        0.0        0.0    11999.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.9600        0.0        0.0        0.0    12044.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.9700        0.0        0.0        0.0    12042.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.9800        0.0        0.0        0.0    12036.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.9900        0.0        0.0        0.0    12055.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.0000        0.0        0.0        0.0    12090.9        0.0        0.0        0.0        0.0        0.0        0.0
       15.0100        0.0        0.0        0.0    12091.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.0200        0.0        0.0        0.0    12090.6        0.0        0.0        0.0        0.0        0.0        0.0
       15.0300        0.0        0.0        0.0    12089.5        0.0        0.0        0.0        0.0        0.0        0.0
       15.0400        0.0        0.0        0.0    12087.6        0.0        0.0        0.0        0.0        0.0        0.0
       15.0500        0.0        0.0        0.0    12084.4        0.0        0.0        0.0        0.0        0.0        0.0
       15.0600        0.0        0.0        0.0    12080.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.0700        0.0        0.0        0.0    12073.1        0.0        0.0        0.0        0.0        0.0        0.0
       15.0800        0.0        0.0        0.0    12055.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.0900        0.0        0.0        0.0    12083.5        0.0        0.0        0.0        0.0        0.0        0.0
       15.1000        0.0        0.0        0.0    12082.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.1100        0.0        0.0        0.0    12076.8        0.0        0.0        0.0        0.0        0.0        0.0
       15.1200        0.0        0.0        0.0    12069.5        0.0        0.0        0.0        0.0        0.0        0.0
       15.1300        0.0        0.0        0.0    12059.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.1400        0.0        0.0        0.0    12043.4        0.0        0.0        0.0        0.0        0.0        0.0
       15.1500        0.0        0.0        0.0    12016.5        0.0        0.0        0.0        0.0        0.0        0.0
       15.1600        0.0        0.0        0.0    12106.1        0.0        0.0        0.0        0.0        0.0        0.0
       15.1700        0.0        0.0        0.0    12157.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.1800        0.0        0.0        0.0    12219.8        0.0        0.0        0.0        0.0        0.0        0.0
       15.1900        0.0        0.0        0.0    12221.9        0.0        0.0        0.0        0.0        0.0        0.0
       15.2000        0.0        0.0        0.0    12223.1        0.0        0.0        0.0        0.0        0.0        0.0
       15.2100        0.0        0.0        0.0    12223.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.2200        0.0        0.0        0.0    12221.9        0.0        0.0        0.0        0.0        0.0        0.0
       15.2300        0.0        0.0        0.0    12217.6        0.0        0.0        0.0        0.0        0.0        0.0
       15.2400        0.0        0.0        0.0    12195.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.2500        0.0        0.0        0.0    12270.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.2600        0.0        0.0        0.0    12272.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.2700        0.0        0.0        0.0    12275.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.2800        0.0        0.0        0.0    12277.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.2900        0.0        0.0        0.0    12278.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.3000        0.0        0.0        0.0    12280.1        0.0        0.0        0.0        0.0        0.0        0.0
       15.3100        0.0        0.0        0.0    12281.3        0.0        0.0        0.0        0.0        0.0        0.0
       15.3200        0.0        0.0        0.0    12282.0        0.0        0.0        0.0        0.0        0.0        0.0
       15.3300        0.0        0.0        0.0    12282.4        0.0        0.0        0.0        0.0        0.0        0.0
       15.3400        0.0        0.0        0.0    12282.3        0.0        0.0        0.0        0.0        0.0        0.0
       15.3500        0.0        0.0        0.0    12281.9        0.0        0.0        0.0        0.0        0.0        0.0
       15.3600        0.0        0.0        0.0    12280.8        0.0        0.0        0.0        0.0        0.0        0.0
       15.3700        0.0        0.0        0.0    12279.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.3800        0.0        0.0        0.0    12276.8        0.0        0.0        0.0        0.0        0.0        0.0
       15.3900        0.0        0.0        0.0    12273.2        0.0        0.0        0.0        0.0        0.0        0.0
       15.4000        0.0        0.0        0.0    12267.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.4100        0.0        0.0        0.0    12256.3        0.0        0.0        0.0        0.0        0.0        0.0
       15.4200        0.0        0.0        0.0    12285.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.4300        0.0        0.0        0.0    12307.5        0.0        0.0        0.0        0.0        0.0        0.0
       15.4400        0.0        0.0        0.0    12306.3        0.0        0.0        0.0        0.0        0.0        0.0
       15.4500        0.0        0.0        0.0    12304.8        0.0        0.0        0.0        0.0        0.0        0.0
       15.4600        0.0        0.0        0.0    12302.7        0.0        0.0        0.0        0.0        0.0        0.0
       15.4700        0.0        0.0        0.0    12299.8        0.0        0.0        0.0        0.0        0.0        0.0
